iter	Logloss
0	0.6007608893
1	0.5329313243
2	0.4823971339
3	0.4478698297
4	0.4180232628
5	0.3893759805
6	0.3726180406
7	0.3596518784
8	0.3485978009
9	0.3364936501
10	0.328830522
11	0.3222257412
12	0.317446094
13	0.3125763595
14	0.308724448
15	0.3047210035
16	0.3019514111
17	0.29890803
18	0.2975202614
19	0.2951412842
20	0.2935296944
21	0.2919272942
22	0.2909382615
23	0.2902280019
24	0.2894783418
25	0.2881188114
26	0.2871156337
27	0.2862803461
28	0.2855296363
29	0.2844781183
30	0.2835252005
31	0.2826340497
32	0.2818389947
33	0.2812254467
34	0.2804846822
35	0.2800375634
36	0.2792367661
37	0.2786588205
38	0.2783294802
39	0.2779848948
40	0.2776027912
41	0.2773177853
42	0.2768798246
43	0.2765626376
44	0.2764117507
45	0.2762325712
46	0.2757685664
47	0.2754143359
48	0.2750553531
49	0.2746529109
50	0.2743848209
51	0.2741517527
52	0.2740147557
53	0.2736250822
54	0.2733317566
55	0.2729970899
56	0.2727006836
57	0.2725219658
58	0.2722944205
59	0.2721349749
60	0.2719040117
61	0.2715950841
62	0.2714038161
63	0.2712398493
64	0.2709065884
65	0.270773943
66	0.270698655
67	0.2704150062
68	0.270152992
69	0.2697651581
70	0.2695348447
71	0.2693266981
72	0.2691847961
73	0.2689033398
74	0.268773676
75	0.2686126011
76	0.2683992812
77	0.2682572514
78	0.2680370816
79	0.2679054932
80	0.2678397763
81	0.267688131
82	0.2675213123
83	0.2674055052
84	0.2673048108
85	0.2670924542
86	0.2669271385
87	0.2669217547
88	0.2666575276
89	0.266532618
90	0.2663273519
91	0.2661178299
92	0.2659822427
93	0.2656795436
94	0.2654896662
95	0.2653423511
96	0.2652726405
97	0.2651241964
98	0.2649452769
99	0.2648397091
100	0.2647133756
101	0.2645419401
102	0.2643305716
103	0.2641914571
104	0.2640561166
105	0.2638846089
106	0.2637015964
107	0.2634649048
108	0.2633679327
109	0.263249748
110	0.2630613112
111	0.2628462574
112	0.2625694339
113	0.2624615496
114	0.2623678987
115	0.2621594251
116	0.2619804371
117	0.2618380136
118	0.2616888776
119	0.2614523626
120	0.2613306539
121	0.2611751473
122	0.2610615457
123	0.2608867784
124	0.2607591653
125	0.2604415096
126	0.2603380524
127	0.260132314
128	0.2599567741
129	0.2598408439
130	0.2596798288
131	0.2595341607
132	0.259388116
133	0.2592230588
134	0.2590586824
135	0.258911639
136	0.2586962922
137	0.2585361171
138	0.2583589008
139	0.258194293
140	0.2579721851
141	0.2578139193
142	0.2576660314
143	0.2575445172
144	0.2573818551
145	0.2572849793
146	0.2571825407
147	0.2570306973
148	0.256886515
149	0.2567859364
150	0.256634186
151	0.2565615356
152	0.2564181667
153	0.2563031024
154	0.2561379234
155	0.2560189336
156	0.2558219347
157	0.2556270093
158	0.2555079228
159	0.2553547376
160	0.2552121169
161	0.2550913896
162	0.254899567
163	0.2548004708
164	0.2546974201
165	0.2545847452
166	0.2545228925
167	0.2543880613
168	0.2542766877
169	0.2541194903
170	0.254027192
171	0.2539340505
172	0.2538059076
173	0.2536173407
174	0.2534653603
175	0.2533438973
176	0.2532740651
177	0.2531216956
178	0.2529907739
179	0.2528417303
180	0.2526898532
181	0.2525558844
182	0.252465987
183	0.2522775425
184	0.2520533849
185	0.2517913211
186	0.2516691013
187	0.2515760682
188	0.2514873357
189	0.2512657958
190	0.2511796756
191	0.2510337462
192	0.2509424672
193	0.2508685476
194	0.2507929011
195	0.2507228712
196	0.2506119502
197	0.2505247091
198	0.2503309397
199	0.2501756332
200	0.2500580657
201	0.2499475596
202	0.249825324
203	0.2496992718
204	0.2495969403
205	0.2493574349
206	0.2492207685
