iter	Passed	Remaining
0	11	33331
1	17	26929
2	25	25219
3	31	23758
4	38	23192
5	46	23230
6	52	22350
7	59	22244
8	66	22027
9	73	22075
10	80	21759
11	86	21421
12	92	21154
13	98	20950
14	123	24612
15	135	25311
16	145	25576
17	152	25196
18	159	24999
19	166	24828
20	174	24744
21	180	24379
22	187	24237
23	195	24238
24	203	24247
25	211	24222
26	221	24388
27	229	24315
28	238	24454
29	245	24309
30	257	24680
31	267	24842
32	312	28135
33	323	28214
34	335	28381
35	349	28795
36	357	28638
37	365	28453
38	371	28238
39	378	28020
40	386	27875
41	392	27649
42	399	27489
43	408	27418
44	416	27319
45	422	27143
46	430	27070
47	437	26921
48	444	26758
49	452	26668
50	458	26491
51	465	26380
52	472	26275
53	480	26187
54	487	26077
55	494	25990
56	500	25866
57	507	25746
58	514	25632
59	521	25529
60	527	25427
61	534	25328
62	540	25205
63	546	25091
64	552	24956
65	558	24821
66	565	24762
67	571	24661
68	579	24622
69	585	24508
70	590	24342
71	596	24242
72	601	24134
73	607	24018
74	614	23965
75	620	23890
76	628	23844
77	633	23748
78	639	23654
79	645	23577
80	651	23489
81	657	23392
82	664	23344
83	670	23264
84	677	23251
85	684	23194
86	693	23212
87	700	23185
88	712	23304
89	720	23285
90	729	23328
91	736	23294
92	747	23377
93	758	23442
94	766	23423
95	775	23470
96	783	23444
97	792	23480
98	800	23444
99	809	23473
100	816	23446
101	825	23451
102	832	23426
103	841	23446
104	850	23444
105	859	23475
106	867	23461
107	876	23480
108	885	23482
109	893	23481
110	901	23462
111	910	23473
112	916	23403
113	924	23413
114	931	23377
115	941	23411
116	948	23380
117	958	23401
118	963	23338
119	972	23349
120	979	23315
121	989	23344
122	997	23324
123	1006	23338
124	1012	23279
125	1021	23291
126	1029	23292
127	1039	23331
128	1047	23323
129	1058	23372
130	1068	23404
131	1076	23397
132	1086	23410
133	1093	23378
134	1100	23348
135	1106	23306
136	1113	23272
137	1120	23238
138	1127	23203
139	1136	23213
140	1143	23183
141	1151	23174
142	1160	23181
143	1171	23230
144	1179	23229
145	1190	23274
146	1200	23304
147	1208	23289
148	1219	23329
149	1227	23321
150	1238	23372
151	1249	23403
152	1258	23413
153	1268	23440
154	1276	23420
155	1285	23430
156	1292	23403
157	1302	23426
158	1309	23405
159	1320	23435
160	1327	23401
161	1347	23605
162	1354	23574
163	1361	23536
164	1376	23652
165	1384	23645
166	1391	23610
167	1400	23608
168	1407	23571
169	1415	23566
170	1422	23535
171	1429	23507
172	1437	23498
173	1445	23472
174	1453	23470
175	1461	23455
176	1470	23453
177	1477	23419
178	1484	23390
179	1490	23353
180	1500	23366
181	1507	23337
182	1516	23344
183	1522	23299
184	1531	23298
185	1536	23251
186	1545	23241
187	1552	23221
188	1559	23188
189	1566	23169
190	1574	23154
191	1582	23143
192	1589	23110
193	1596	23096
194	1603	23066
195	1610	23034
196	1618	23025
197	1630	23076
198	1642	23123
199	1653	23153
200	1662	23145
201	1674	23189
202	1682	23187
203	1692	23199
204	1701	23197
205	1710	23195
206	1720	23218
207	1728	23201
208	1737	23205
209	1745	23188
210	1754	23193
211	1763	23187
212	1772	23187
213	1778	23157
214	1788	23164
215	1796	23151
216	1804	23144
217	1811	23111
218	1818	23095
219	1824	23061
220	1831	23032
221	1838	23007
222	1844	22966
223	1851	22944
224	1857	22912
225	1865	22895
226	1871	22866
227	1878	22839
228	1889	22869
229	1896	22843
230	1905	22835
231	1914	22846
232	1923	22842
233	1933	22849
234	1939	22822
235	1947	22804
236	1953	22771
237	1958	22732
238	1966	22718
239	1972	22679
240	1977	22643
241	1985	22631
242	1992	22606
243	2000	22593
244	2007	22572
245	2014	22552
246	2021	22528
247	2026	22488
248	2035	22483
249	2041	22458
250	2049	22444
251	2055	22418
252	2064	22420
253	2070	22386
254	2078	22374
255	2084	22345
256	2090	22308
257	2097	22288
258	2102	22251
259	2108	22217
260	2114	22194
261	2121	22166
262	2129	22156
263	2135	22130
264	2141	22101
265	2148	22087
266	2155	22064
267	2183	22254
268	2195	22294
269	2206	22313
270	2215	22314
271	2222	22289
272	2230	22285
273	2236	22255
274	2244	22245
275	2250	22213
276	2258	22197
277	2264	22167
278	2270	22142
279	2280	22151
280	2287	22132
281	2296	22129
282	2302	22107
283	2310	22092
284	2315	22062
285	2321	22033
286	2329	22020
287	2334	21987
288	2343	21982
289	2349	21955
290	2356	21936
291	2362	21913
292	2369	21889
293	2376	21877
294	2383	21859
295	2391	21843
296	2396	21812
